Modifier[s]|Ingredient|Volume (cups)|Ounces|Grams
|All-Purpose Flour|1.00|4.25|120
|Almond Flour|1.00|3.00|86
|Almond meal|1.00|3.00|84
packed|Almond paste|1.00|9.12|259
sliced|Almonds|0.50|1.50|43
slivered|Almonds|0.50|2.00|57
unblanched|Almonds, whole|1.00|5.00|142
|Amaranth flour|1.00|3.62|103
dried|Apples|1.00|3.00|85
diced|Apples|1.00|3.00|85
peeled|Apples|1.00|4.00|113
sliced|Apples|1.00|4.00|113
|Applesauce|1.00|9.00|255
dried|Apricots|0.50|2.25|64
diced|Apricots|0.50|2.25|64
|Artisan Bread Flour|1.00|4.25|120
|Baker's Cinnamon Filling|1.00|5.38|152
|Baker's Fruit Blend|1.00|4.50|128
superfine sugar|Baker's Special Sugar|1.00|6.75|190
castor sugar|Baker's Special Sugar|1.00|6.75|190
|Baking powder|0.02||4
|Baking soda|0.01||3
mashed|Bananas|1.00|8.00|227
cooked|Barley|1.00|7.62|215
pearled|Barley|1.00|7.50|213
|Barley flakes|0.50|1.62|46
|Barley flour|1.00|3.00|85
|Basil pesto|0.12|1.00|28
fresh|Bell peppers|1.00|5.00|142
frozen|Berries|1.00|5.00|142
dried|Blueberries|1.00|5.50|156
fresh|Blueberries|1.00|6.00|170
|Blueberry juice|1.00|8.50|241
|Boiled cider|0.25|3.00|85
|Bran cereal|1.00|2.12|60
dried|Bread crumbs|0.25|1.00|28
fresh|Bread crumbs|0.25|0.75|21
Japanese Panko|Bread crumbs|0.25|1.75|50
|Bread Flour|1.00|4.25|120
cooked|Brown rice|1.00|6.00|170
|Brown rice flour|1.00|4.50|128
dark light|Brown sugar|1.00|7.50|213
packed|Brown sugar|1.00|7.50|213
whole|Buckwheat|1.00|6.00|170
|Buckwheat Flour|1.00|4.25|120
|Bulgur|1.00|5.38|152
|Butter|0.50|4.00|113
|Buttermilk|1.00|8.00|227
|Cake Enhancer|0.12|0.50|14
|Candied peel|0.50|3.00|85
14-16 individual pieces|Caramel|0.50|5.00|142
1" squares|Caramel|0.50|5.00|142
chopped Heath toffee|Caramel bits|1.00|5.50|156
|Caraway seeds|0.12|0.62|18
cooked and puréed|Carrots|0.50|4.50|128
diced|Carrots|1.00|5.00|142
grated|Carrots|1.00|3.50|99
chopped|Cashews|1.00|4.00|113
whole|Cashews|1.00|4.00|113
diced|Celery|1.00|5.00|142
Feta|Cheese|0.50|2.00|57
grated cheddar|Cheese|1.00|4.00|113
jack|Cheese|1.00|4.00|113
mozzarella|Cheese|1.00|4.00|113
Swiss|Cheese|1.00|4.00|113
grated Parmesan|Cheese|0.50|1.75|50
Ricotta|Cheese|1.00|8.00|227
candied|Cherries|0.25|1.75|50
dried|Cherries|0.50|2.50|71
frozen|Cherries|1.00|4.00|113
|Chickpea flour|1.00|3.00|85
fresh|Chives|0.50|0.75|21
chopped|Chocolate|1.00|6.00|170
|Chocolate chips|1.00|6.00|170
|Cinnamon Sweet Bits|1.00|5.00|140
|Cinnamon-sugar|0.25|1.75|50
unsweetened|Cocoa|0.50|1.50|42
sweetened|Coconut|1.00|3.00|85
shredded|Coconut|1.00|3.00|85
unsweetened|Coconut|1.00|2.12|60
large flakes|Coconut|1.00|2.12|60
unsweetened|Coconut|1.00|4.00|113
shredded|Coconut|1.00|4.00|113
|Coconut Flour|1.00|4.50|128
|Coconut Milk Powder|0.50|2.00|57
|Coconut oil|0.50|4.00|113
unsifted|Confectioners' sugar|2.00|8.00|227
|Cookie crumbs|1.00|3.00|85
popped|Corn|4.00|0.75|21
|Corn syrup|1.00|11.00|312
whole|Cornmeal|1.00|4.88|138
yellow|Cornmeal|1.00|5.50|156
